Key	Content	Handle
LeaderLib_Override_Ability_ArmourSpecialist_DisplayName	Armour Specialist	hae52ff4bg54e7g4eabgb930gca752c4ba072
LeaderLib_Override_Ability_Sulfurology_DisplayName	Sulfurology	h919b260ag66c4g4551gb4c7g793a12115cfc
LeaderLib_Override_ShadowResistance_DisplayName	Shadow Resistance	hef0c737eg2a72g4564ga5cfg088484ac8b45
LeaderLib_Override_WorkingStoryError1	A <font color='#D040D0'>Story Compilation Error</font> occurred with your active mods.<br><font color='#F7BA14' size='22'>You may be missing mod requirements.</font><br><font color='#FF0000' size='24'>Mods will not work correctly.</font><br>To potentially fix this, please check the requirements of your active mods, such as required dependency mods, the script extender, and/or an updated game version.	h0580f26cg207fg494cgbe80g9d468b0c4996
LeaderLib_Override_WorkingStoryError2	A <font color='#D040D0'>Story Compilation Error</font> occurred with your active mods.<br><font color='#F7BA14' size='22'>You may be missing mod requirements.</font><br><font color='#FF0000' size='24'>Mods will not work correctly.</font><br>To potentially fix this, please check the requirements of your active mods, such as required dependency mods, the script extender, and/or an updated game version.	h1145733eg9ec6g4f50ga44bg313f8a4e1cb2
LeaderLib_Override_WorkingStoryError3	A <font color='#D040D0'>Story Compilation Error</font> occurred with your active mods.<br><font color='#F7BA14' size='22'>You may be missing mod requirements.</font><br><font color='#FF0000' size='24'>Mods will not work correctly.</font><br>To potentially fix this, please check the requirements of your active mods, such as required dependency mods, the script extender, and/or an updated game version.	h966d6fabgc29cg4602gad0dg0c50f9418e24
LeaderLib_Override_Backstabber_Description	[1] allows you to backstab enemies with weapons other than a dagger.<br><font size='16' color='#00AAFF'>(LeaderLib)</font>	h56b21dd3g7d43g4de8gbe58ge0e7ad8f84f1
LeaderLib_Override_Rifle	Rifle Weapon	ha3a18e3fge9e4g4496g84b8g5590844143f0
LeaderLib_Override_Rifle2	Rifle	h4120c4e5g4931g46dbgad0fga7a57514ac42
LeaderLib_Override_NoRifle	No rifle equipped	h0a77a6c9g8b1ag49cdgaf0eg45c159b82b32
LeaderLib_Override_CustomStats1	Extra Stats	ha62e1eccgc1c2g4452g8d78g65ea010f3d85
LeaderLib_Override_CustomStats2	Extra Stats	h409bfd42g2257g4cb8gb3fbgedcb8adecaed
LeaderLib_Override_SulfuricSurface	Sulfurium	h28954ca9gdeeag45a2g9db1ga3d5e2f7f49a
