Key	Content	Handle
LeaderLib_Game_ChaosDamage	chaos damage	h2bc14afag7627g4db8gaaa6g19c26b9820d5
LeaderLib_Game_SulfuricDamage	sulfuric damage	h12d0bc64gdf1dg424egaf04g644417604184
LeaderLib_Game_SentinelDamage	unknown damage	h972f1d0cgbce6g4a8fg8ab4g02430e78b2b4
LeaderLib_Game_SulfuricDamageName	Sulfuric	h1da479e7gc4e2g4748g8234g754e97a4b680
LeaderLib_Game_SentinelDamageName	Unknown	h00b235c6gdd0bg494fg997cga2d204f060a8
LeaderLib_Game_ChaosDamageWithParam	<font color='#9A00FF'>[1] chaos damage</font>	h80766295g4589g4681gb03cgf6c692463084
LeaderLib_Game_PureResistance	Pure Resistance	h71766947g9564g4a6bg936bga055cccc01a0
LeaderLib_Game_ChaosResistance	Chaos Resistance	h17e6d1bbgbe95g4944gb37dgfe5059a58a2d
LeaderLib_Game_SulfuricResistance	Sulfuric Resistance	h95b9aa7bg9ca3g46ecga152gbed2951313b4
LeaderLib_Game_SentinelResistance	Unknown Resistance	h3e9f92b4g5634g425egb6f8g75b06a572a2c
LeaderLib_Game_Slot_Horns	Horns	ha35fc503g56dbg4adag963dga359d961e0c8
