Key	Content	Handle
LeaderLib_UI_Settings_Autosaving	Timed Autosaving	h52a29657gf5f3g4577gb783g6fa0c0052e5e
LeaderLib_UI_Settings_DialogRedirection	Dialog Redirection	h8d5dac42geb51g4b3agae2egfce8019d8387
LeaderLib_UI_Settings_Features	Features	h4b459589gc776g4a7fgb3abg2e219ea20844
LeaderLib_UI_Settings_Fixes	Fixes	h86a5860ag96ddg46e0g84f7g82aac62689f9
LeaderLib_RemovePathInfluencesOnChainAll	Remove Surface Avoidance When Chained	h15b88e5fg448eg4d13g9bffga608d21bc1da
LeaderLib_RemovePathInfluencesOnChainAll_Description	Characters that follow you with Chain All will no longer avoid surfaces.	h15486e80g477bg46c1gb79bg5dfca9626411
LeaderLib_AutoAddModMenuBooksDisabled	Disable Auto-Adding Mod Books	h41a533b7g535bg4e76gbc7eg202d33a73740
LeaderLib_AutoAddModMenuBooksDisabled_Description	Disables certain mod books from automatically being added to your inventory.	h612f84f2gd275g41bdga76fg0b54166becb0
LeaderLib_AutoUnlockInventoryInMultiplayer	Auto-Unlock Inventory in Multiplayer	h4de9aea3ga486g4e1egbb56gef0bc6191f9c
LeaderLib_AutoUnlockInventoryInMultiplayer_Description	In multiplayer, your inventory will be unlocked automatically.	he39c524ag19e1g49b8gb60bga1e4bbf30084
LeaderLib_AutosaveOnCombatStart	Autosave When Combat Starts	h9863bb3eg058dg45acg8926gefb0f24ece72
LeaderLib_AutosaveOnCombatStart_Description	When combat starts, LeaderLib will autosave the game.	h2033bb71g7004g4423ga633gd50bfc8fdd50
LeaderLib_AutosavingEnabled	Enable Timed Autosaving	h6a80ffafg59d9g4848g8d1ag9359a1435030
LeaderLib_AutosavingEnabled_Description	Enable timed autosaving, using the interval and preferences set.	hce32b71dg0adbg42b7gbbbagb962cc80264a
LeaderLib_DebugModeEnabled	Enable Debug Mode	h66e8b6f3gf140g4ce3gae5eg1fa3b163a8d1
LeaderLib_DebugModeEnabled_Description	Enable various debug features with LeaderLib. Not recommended.	h8b7d56a0g4114g4cf2ga2ceg50db94bad57f
LeaderLib_DialogRedirectionEnabled	Enable Dialog Redirection	h4afd5d2bg1af0g4cc3g9a53gdb6c327d2d04
LeaderLib_DialogRedirectionEnabled_Description	Enable redirecting automatically started dialog to characters that match your preferences, such as an avatar or character with the highest persuasion.	hc789b3e9g19dfg4670g9df6g1e2b18cb59ae
LeaderLib_DialogRedirection_DisableUserRestriction	Disable User Restriction	h70864c17g1034g48ccgb6edg03dbeb743375
LeaderLib_DialogRedirection_DisableUserRestriction_Description	Dialog redirection will no longer be restricted to characters you own as a user. For instance, if another player in multiplayer has the highest persuasion, they may get the dialog redirected to them.	h4e45ba6fg348eg433eg8655g400e79b9a53c
LeaderLib_DialogRedirection_HighestPersuasionEnabled	Redirect to Highest Persuasion	hcb2933a4g9bf6g4b7ega556g974d319d1faf
LeaderLib_DialogRedirection_HighestPersuasionEnabled_Description	Dialog will be redirected to the character with the highest persuasion value, instead of only avatar characters.	h5674850agf1bcg4d18g9af6gadf188370101
LeaderLib_DisableAutosavingInCombat	Pause Autosaving in Combat	hb9335219gb6b3g49ffg9291gd3bf78a2f84f
LeaderLib_DisableAutosavingInCombat_Description	Timed autosaving will pause while in combat.	h162538f5g21e7g4848g97a6g576ab6238d19
LeaderLib_FriendlyFireEnabled	Enable Friendly Fire	h91d3f79agc1fcg4995gad06gb9f45fd9ab49
LeaderLib_FriendlyFireEnabled_Description	Enables friendly fire, which can allow skills to target allies.	hac0a7cb5g419ag4698g8b2cg0fc57a03a385
LeaderLib_PullPartyIntoCombat	Pull Party Into Combat	h15ce233fgbe8fg46adg94eagff09e732a307
LeaderLib_PullPartyIntoCombat_Description	When entering combat, party members within the set radius will automatically join that combat.	h3d4aaceaga4c5g4056gb9f7gb4f642e5f422
LeaderLib_UnhealableFix_Enabled	Fix the Unhealable Status	h6ba6354bg9a76g48c2g90e9gf8aeac752f5c
LeaderLib_UnhealableFix_Enabled_Description	Fixes the Unhealable status to actually make it prevent healing. This is a status already in the game that mods may use.	hd2546f5cgd3efg44bfga835g5e02f5b95fbd
LeaderLib_Variables_AutosaveInterval	Autosave Interval	h43868aebg7281g40bfgbc1dgf6fe5a06512b
LeaderLib_Variables_AutosaveInterval_Description	The time delay between autosaving, in minutes.	h2ecee3dfg9f7eg4c8dga10bg11b0d6347136
LeaderLib_Variables_AutoCombatRange	Auto-Join Combat Range	hf37c444fg879fg4e62gb3d5g77086202f362
LeaderLib_Variables_AutoCombatRange_Description	If "Pull Party Into Combat" is enabled, this is the minimum range party members must be from that combat to automatically join. Default: 30m range.	h4c438f27gc833g4b46g8c3eg50716f12ae34
