Key	Content	Handle
LeaderLib_Tooltip_ResistancePenetrationBoost	[1] Penetration	hf638bc67g5cb6g4dcfg8663gce1951caad2b
LeaderLib_Tooltip_ItemDescription_AutoLeveling	<font color='#80FFC3' size='18'>Automatically levels up with the wearer.</font>	hca27994egc60eg495dg8146g7f81c970e265
LeaderLib_Tooltip_CreatedBy	[1]<br>Created by [2]	h1e7b9070ga8cag46f3ga7b4gfccd1addb8ba
LeaderLib_Tooltip_ExtraPropertiesCondensed	Apply On Hit:<br>[1] for [2] turns(s). ([3] Chance)	h3eff6bc1gb26dg4bb5gb3b9g2551c65026e0
LeaderLib_Tooltip_Expander_Inactive	Hold [1] for More Info	h17380891g0e8eg42d3gbb55g9478bba4f684
LeaderLib_Tooltip_Expander_Active	Release [1] for Less Info	h7b3bd7e6g9a34g4959gad11g241f6d8d33c1
LeaderLib_Tooltip_SafeForce	Pushes targets [1]m [2].	h788df33dg4d61g4cb7g8f2cgfb75e14e7ffc
LeaderLib_Tooltip_SafeForceRandom	Pushes targets [1]m [2] ([3]% Chance).	h9308f157g1e5ag4051gbcc0g9d41c54ffa57
LeaderLib_Tooltip_SafeForce_Negative	Pulls targets [1]m [2].	h3209c996gd9ebg4594ga886gddca741dafdd
LeaderLib_Tooltip_SafeForceRandom_Negative	Pulls targets [1]m [2] ([3]% Chance).	h21fd2959g743dg49e6g9922g02b39ce3c8b8
LeaderLib_Tooltip_MoveToTarget	Move to the target.	h19d1b9dag302dg4655g86fdgad6fe369db15
LeaderLib_Tooltip_AbilityCurrentLevel	Level [1]: [2]	h8154ae8eg2b37g4f0fgb6b6gd7e27fed37a6
LeaderLib_Tooltip_AbilityNextLevel	Next Level [1]: [2]	he31d5820g9ddbg4e08gac83g1358e22e499b
LeaderLib_Tooltip_FromTarget	from target	hafb63d24gd9b3g47d2gbe4cg1ecb09f9c1c9
LeaderLib_Tooltip_FromSelf	from self	h727273bcg948ag461agad93gef52b2419eca
LeaderLib_Tooltip_ToggleGrouping	<font color='#00CCFF'>Keyboard Shortcut</font><br><font color='#44CCAA'>Press CTRL + Spacebar to chain/unchain party members. No skill required.</font><br>(Note: This is the '<font color='#FFAA11'>[Handle:h310a22a4g1ebag4b1cg89d6g5cebc301c5c5:Toggle Game Master Shroud]</font>' [Handle:h6867dea8g129fg4a85g9368g1cf6534df65f:Key]).	h33c3e0e2g18e3g4792g93bbg725c15acdef1
