new entry "LeaderLib_DUMMY_INVULNERABLE"
type "StatusData"
data "StatusType" "INVISIBLE"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "LeaderLib_DUMMY_INVULNERABLE_DisplayName"
data "DisplayNameRef" " "
data "Description" "LeaderLib_DUMMY_INVULNERABLE_Description"
data "DescriptionRef" "Character is an invisible dummy, used for script purposes. Look away from the curtain!"
data "FormatColor" "White"
data "MaterialType" "Replacement"
data "Material" "6148f9f3-a2d8-4aa9-add3-368c411b1080"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "SoundStart" "Status_Tex_Invisible_Start"
data "SoundLoop" "Status_Tex_Invisible_Loop"
data "SoundStop" "Status_Tex_Invisible_Stop"
data "StackId" "Stack_LeaderLib_Dummy_Invulnerable"
data "IsInvulnerable" "Yes"

